"Annotation1-1","BeginTime","Annotation2-1","BeginTime","Annotation3-1","BeginTime","TranscriptionName"
Seeing,257484,mirar,257484,VMIP3S0,257484,"Castro_Aina_ES.eaf"
Vegetable,258292,árbol,258292,NCMP000,258292,"Castro_Aina_ES.eaf"
Human,265730,jubilado,265730,NCMS000,265730,"Castro_Aina_ES.eaf"
A-StateOfMind,271080,inquietar,271080,VMIP1S0,271080,"Castro_Aina_ES.eaf"
Drinking,272706,beber,272706,VMIP3S0,272706,"Castro_Aina_ES.eaf"
-,273790,café,273790,NCMS000,273790,"Castro_Aina_ES.eaf"
Seeing,274874,mirar,274874,VMIP3S0,274874,"Castro_Aina_ES.eaf"
Location,275958,lejanía,275958,NCFS000,275958,"Castro_Aina_ES.eaf"
Putting,284080,dejar,284080,VMIP3S0,284080,"Castro_Aina_ES.eaf"
-,284560,café,284560,NCMS000,284560,"Castro_Aina_ES.eaf"
Object,285280,banco,285280,NCMS000,285280,"Castro_Aina_ES.eaf"
Location,286240,lado,286240,NCMS000,286240,"Castro_Aina_ES.eaf"
Putting,286720,sacar,286720,VMIP3S0,286720,"Castro_Aina_ES.eaf"
Object,287200,móvil,287200,NCMS000,287200,"Castro_Aina_ES.eaf"
Aux,287680,empezar,287680,VMIP3S0,287680,"Castro_Aina_ES.eaf"
Seeing,288160,mirar,288160,VMN0000,288160,"Castro_Aina_ES.eaf"
-,288640,contacto,288640,NCMP000,288640,"Castro_Aina_ES.eaf"
Communication,296120,llamar,296120,VMIP3S0,296120,"Castro_Aina_ES.eaf"
Human,297866,amigo,297866,NCMS000,297866,"Castro_Aina_ES.eaf"
Gesture,330150,fruncir_el_ceño,330150,VMIP3S0,330150,"Castro_Aina_ES.eaf"
Seeing,330966,mirar,330966,VMIP3S0,330966,"Castro_Aina_ES.eaf"
Location,332190,lado,332190,NCMP000,332190,"Castro_Aina_ES.eaf"
A-StateOfMind,380030,extrañar,380030,VMP00SM,380030,"Castro_Aina_ES.eaf"
Seeing,380256,mirar,380256,VMIP3S0,380256,"Castro_Aina_ES.eaf"
Location,380708,arriba,380708,RG,380708,"Castro_Aina_ES.eaf"
Location,381612,lado,381612,NCMP000,381612,"Castro_Aina_ES.eaf"
Motion,399420,ir,399420,VMIP3S0,399420,"Castro_Aina_ES.eaf"
Walking,399800,andar,399800,VMG0000,399800,"Castro_Aina_ES.eaf"
Putting,400560,dejar,400560,VMIP3S0,400560,"Castro_Aina_ES.eaf"
-,401320,café,401320,NCMS000,401320,"Castro_Aina_ES.eaf"
Human,411318,chico,411318,NCFS000,411318,"Castro_Aina_ES.eaf"
Time,412310,año,412310,NCMP000,412310,"Castro_Aina_ES.eaf"
BodyPart,413302,pelo,413302,NCMS000,413302,"Castro_Aina_ES.eaf"
A-SubjectiveAssessmentAttribute,413550,rizar,413550,VMP00SM,413550,"Castro_Aina_ES.eaf"
Clothing,414046,chaqueta,414046,NCFS000,414046,"Castro_Aina_ES.eaf"
Clothing,414542,pañuelo,414542,NCMS000,414542,"Castro_Aina_ES.eaf"
Human,419298,estudiante,419298,NCCS000,419298,"Castro_Aina_ES.eaf"
Seeing,495080,mirar,495080,VMIP3S0,495080,"Castro_Aina_ES.eaf"
Location,496094,lado,496094,NCMP000,496094,"Castro_Aina_ES.eaf"
A-StateOfMind,496432,sorprender,496432,VMP00SF,496432,"Castro_Aina_ES.eaf"
-,511180,fuera,511180,RG,511180,"Castro_Aina_ES.eaf"
Clothing,513136,abrigo,513136,NCMS000,513136,"Castro_Aina_ES.eaf"
A-Dressing,513625,poner,513625,VMP00SM,513625,"Castro_Aina_ES.eaf"
Aux,514603,ir,514603,VMIP3S0,514603,"Castro_Aina_ES.eaf"
Walking,515092,andar,515092,VMG0000,515092,"Castro_Aina_ES.eaf"
Vegetable,516070,matorral,516070,NCMP000,516070,"Castro_Aina_ES.eaf"
Motion,532060,llegar,532060,VMIP3S0,532060,"Castro_Aina_ES.eaf"
Location,532945,campo,532945,NCMS000,532945,"Castro_Aina_ES.eaf"
located,533535,estar,533535,VAIP3P0,533535,"Castro_Aina_ES.eaf"
RadiatingSound,541406,voz,541406,NCFS000,541406,"Castro_Aina_ES.eaf"
A-PositionalAttribute,541642,salir,541642,VMP00SF,541642,"Castro_Aina_ES.eaf"
Communication,542586,hablar,542586,VMIP3S0,542586,"Castro_Aina_ES.eaf"
Seeing,559030,mirar,559030,VMIP3P0,559030,"Castro_Aina_ES.eaf"
Location,560245,lado,560245,NCMP000,560245,"Castro_Aina_ES.eaf"
Seeing,710440,mirar,710440,VMIP3P0,710440,"Castro_Aina_ES.eaf"
Gesture,711280,negar_con_la_cabeza,711280,VMIP3P0,711280,"Castro_Aina_ES.eaf"
Motion,737780,ir,737780,VMIP3S0,737780,"Castro_Aina_ES.eaf"
Motion,745624,seguir,745624,VMIP3S0,745624,"Castro_Aina_ES.eaf"
Human,753100,mujer,753100,NCFS000,753100,"Castro_Aina_ES.eaf"
A-ColorAttribute,753990,negro,753990,AQ0FS0,753990,"Castro_Aina_ES.eaf"
