"Annotation1-1","BeginTime","Annotation2-1","BeginTime","Annotation3-1","BeginTime","TranscriptionName"
Motion,164968,acostar,164968,VMIP3S0,164968,"What-AccessFriendly-CA.eaf"
-,165802,aigua,165802,NCFS000,165802,"What-AccessFriendly-CA.eaf"
Motion,166636,girar,166636,VMIP3S0,166636,"What-AccessFriendly-CA.eaf"
Motion,167192,tornar,167192,VMIP3S0,167192,"What-AccessFriendly-CA.eaf"
Seeing,168304,mirar,168304,VMG0000,168304,"What-AccessFriendly-CA.eaf"
-,169416,voltant,169416,NCMS000,169416,"What-AccessFriendly-CA.eaf"
Motion,170250,aturar,170250,VMIP3S0,170250,"What-AccessFriendly-CA.eaf"
Walking,170806,fer_passes,170806,VMIP3S0,170806,"What-AccessFriendly-CA.eaf"
-,171362,passa,171362,NCFP000,171362,"What-AccessFriendly-CA.eaf"
A-EmotionalState,171640,titubejant,171640,AQ0CP0,171640,"What-AccessFriendly-CA.eaf"
-,172752,banda,172752,NCFS000,172752,"What-AccessFriendly-CA.eaf"
Motion,176636,aturar,176636,VMIP3S0,176636,"What-AccessFriendly-CA.eaf"
Walking,179502,fer_passes,179502,VMIP3S0,179502,"What-AccessFriendly-CA.eaf"
-,180150,passa,180150,NCFP000,180150,"What-AccessFriendly-CA.eaf"
A-EmotionalState,180474,titubejant,180474,AQ0CP0,180474,"What-AccessFriendly-CA.eaf"
-,181770,banda,181770,NCFS000,181770,"What-AccessFriendly-CA.eaf"
-,186224,dreta,186224,NCFS000,186224,"What-AccessFriendly-CA.eaf"
-,186959,pantalla,186959,NCFS000,186959,"What-AccessFriendly-CA.eaf"
-,187939,fons,187939,NCMN000,187939,"What-AccessFriendly-CA.eaf"
Seeing,188674,albirar,188674,VMIP3S0,188674,"What-AccessFriendly-CA.eaf"
-,189164,perfil,189164,NCMS000,189164,"What-AccessFriendly-CA.eaf"
-,189899,ciutat,189899,NCFS000,189899,"What-AccessFriendly-CA.eaf"
-,190634,broma,190634,NCFS000,190634,"What-AccessFriendly-CA.eaf"
-,193132,james,193132,NCMP000,193132,"What-AccessFriendly-CA.eaf"
possesses,193452,tenir,193452,VMIP3S0,193452,"What-AccessFriendly-CA.eaf"
-,194412,any,194412,NCMP000,194412,"What-AccessFriendly-CA.eaf"
-,196972,ser,196972,VSIP3S0,196972,"What-AccessFriendly-CA.eaf"
A-Human,197292,ben_plantat,197292,AQ0MS0,197292,"What-AccessFriendly-CA.eaf"
