"Annotation1-1","BeginTime","Annotation2-1","BeginTime","Annotation3-1","BeginTime","TranscriptionName"
Walking,539655,fer_passes,539655,VMIP3P0,539655,"What-AccessFriendly-CA.eaf"
Seeing,541167,mirar,541167,VMIP3P0,541167,"What-AccessFriendly-CA.eaf"
Motion,738429,tombar,738429,VMIP3S0,738429,"What-AccessFriendly-CA.eaf"
Process,739617,començar,739617,VMIP3S0,739617,"What-AccessFriendly-CA.eaf"
Walking,740211,caminar,740211,VMN0000,740211,"What-AccessFriendly-CA.eaf"
Motion,741696,seguir,741696,VMIP3S0,741696,"What-AccessFriendly-CA.eaf"
IntentionalPsychologicalProcess,743478,pensar,743478,VMIP3S0,743478,"What-AccessFriendly-CA.eaf"
Motion,751497,girar,751497,VMIP3S0,751497,"What-AccessFriendly-CA.eaf"
Process,752091,començar,752091,VMIP3S0,752091,"What-AccessFriendly-CA.eaf"
Walking,752685,córrer,752685,VMN0000,752685,"What-AccessFriendly-CA.eaf"
Motion,755358,endinsar,755358,VMIP3P0,755358,"What-AccessFriendly-CA.eaf"
IntentionalPsychologicalProcess,781081,llegir,781081,VMIP3S0,781081,"What-AccessFriendly-CA.eaf"
Motion,6046,creuar,6046,VMIP3P0,6046,"What-Aptent-CA.eaf"
Walking,7852,passejar,7852,VMIP3S0,7852,"What-Aptent-CA.eaf"
Walking,10432,fer_fúting,10432,VMIP3S0,10432,"What-Aptent-CA.eaf"
Searching,11722,ensumar,11722,VMIP3S0,11722,"What-Aptent-CA.eaf"
Communication,14217,sentir,14217,VMN0000,14217,"What-Aptent-CA.eaf"
Walking,15168,córrer,15168,VMIP3S0,15168,"What-Aptent-CA.eaf"
Process,19572,passar,19572,VMIP3S0,19572,"What-Aptent-CA.eaf"
Motion,22815,aturar,22815,VMIP3S0,22815,"What-Aptent-CA.eaf"
Motion,24775,sortir,24775,VMIF3S0,24775,"What-Aptent-CA.eaf"
Communication,25510,parlar,25510,VMG0000,25510,"What-Aptent-CA.eaf"
Putting,26735,desar,26735,VMIF3S0,26735,"What-Aptent-CA.eaf"
Touching,28695,agafar,28695,VMIF3S0,28695,"What-Aptent-CA.eaf"
Communication,52500,penjar,52500,VMIP3S0,52500,"What-Aptent-CA.eaf"
Putting,52914,desar,52914,VMIP3S0,52914,"What-Aptent-CA.eaf"
BodyMotion,53949,endur,53949,VMIP3S0,53949,"What-Aptent-CA.eaf"
Putting Dressing,59473,posar,59473,VMIP3S0,59473,"What-Aptent-CA.eaf"
Seeing,61804,mira,61804,VMIP3S0,61804,"What-Aptent-CA.eaf"
Walking,67271,caminar,67271,VMG0000,67271,"What-Aptent-CA.eaf"
BodyMotion,68586,endur,68586,VMIP3S0,68586,"What-Aptent-CA.eaf"
BodyMotion,92359,estendre,92359,VMIP3S0,92359,"What-Aptent-CA.eaf"
Putting,95050,deixar,95050,VMIP3S0,95050,"What-Aptent-CA.eaf"
located,99420,romandre,99420,VMIP3S0,99420,"What-Aptent-CA.eaf"
BodyMotion,101724,emportar,101724,VMIP3S0,101724,"What-Aptent-CA.eaf"
BodyMotion,103516,estendre,103516,VMM02S0,103516,"What-Aptent-CA.eaf"
Process,106332,agafar,106332,VMIP3S0,106332,"What-Aptent-CA.eaf"
Motion,107868,caure,107868,VMN0000,107868,"What-Aptent-CA.eaf"
BodyMotion,114945,incorporar,114945,VMIP3S0,114945,"What-Aptent-CA.eaf"
Touching,115680,agafar,115680,VMIP3S0,115680,"What-Aptent-CA.eaf"
Searching,141540,buscar,141540,VMIP3S0,141540,"What-Aptent-CA.eaf"
Putting,157500,deixar,157500,VMIP3S0,157500,"What-Aptent-CA.eaf"
BodyMotion,159228,aixecar,159228,VMIP3S0,159228,"What-Aptent-CA.eaf"
Motion,163475,allunyar,163475,VMIP3S0,163475,"What-Aptent-CA.eaf"
Seeing,165485,mirant,165485,VMG0000,165485,"What-Aptent-CA.eaf"
Motion,169653,aturar,169653,VMIP3S0,169653,"What-Aptent-CA.eaf"
Process,170159,centrar,170159,VMIP3S0,170159,"What-Aptent-CA.eaf"
Motion,172942,volar,172942,VMIP3S0,172942,"What-Aptent-CA.eaf"
BodyMotion,174460,moure,174460,VMG0000,174460,"What-Aptent-CA.eaf"
Seeing,179820,dirigirla_mirada,179820,VMIP3S0,179820,"What-Aptent-CA.eaf"
Motion,187420,fer_mitja_volta,187420,VMIP3S0,187420,"What-Aptent-CA.eaf"
Seeing,189408,mirar,189408,VMN0000,189408,"What-Aptent-CA.eaf"
Motion,190828,apropar,190828,VMIP3S0,190828,"What-Aptent-CA.eaf"
Expressing,198719,denotar,198719,VMIP3S0,198719,"What-Aptent-CA.eaf"
Motion,199971,tornar,199971,VMIP3S0,199971,"What-Aptent-CA.eaf"
Process,201536,posar,201536,VMN0000,201536,"What-Aptent-CA.eaf"
Motion,204353,solcar,204353,VMM03P0,204353,"What-Aptent-CA.eaf"
BodyMotion,208780,inclinar,208780,VMIP3S0,208780,"What-Aptent-CA.eaf"
Touching,209620,agafar,209620,VMN0000,209620,"What-Aptent-CA.eaf"
Process,210740,tornar,210740,VMIP3S0,210740,"What-Aptent-CA.eaf"
BodyMotion,211300,alçar,211300,VMN0000,211300,"What-Aptent-CA.eaf"
Putting Dressing,212980,posar,212980,VMIP3S0,212980,"What-Aptent-CA.eaf"
BodyMotion,214100,ajupir,214100,VMIP3S0,214100,"What-Aptent-CA.eaf"
Touching,214660,recollir,214660,VMN0000,214660,"What-Aptent-CA.eaf"
IntentionalProcess,216620,continuar,216620,VMIP3S0,216620,"What-Aptent-CA.eaf"
Putting Dressing,216900,vestir,216900,VMG0000,216900,"What-Aptent-CA.eaf"
Walking,218800,caminar,218800,VMIP3S0,218800,"What-Aptent-CA.eaf"
possesses,222232,tenir,222232,VMIP3S0,222232,"What-Aptent-CA.eaf"
Putting Dressing,225092,portar,225092,VMIP3S0,225092,"What-Aptent-CA.eaf"
Motion,227220,pujar,227220,VMIP3S0,227220,"What-Aptent-CA.eaf"
located,237328,estar,237328,VMIP3S0,237328,"What-Aptent-CA.eaf"
Touching,240408,sostenir,240408,VMIP3S0,240408,"What-Aptent-CA.eaf"
SoundAttribute,242872,tamborinar,242872,VMIP3S0,242872,"What-Aptent-CA.eaf"
Expressing,248700,somriure,248700,VMIP3S0,248700,"What-Aptent-CA.eaf"
Expressing,249280,fer_que_no,249280,VMIP3S0,249280,"What-Aptent-CA.eaf"
IntentionalProcess,251310,continuar,251310,VMIP3S0,251310,"What-Aptent-CA.eaf"
Touching,251600,tocar,251600,VMG0000,251600,"What-Aptent-CA.eaf"
Removing,253340,treure,253340,VMIP3S0,253340,"What-Aptent-CA.eaf"
part,254500,contenir,254500,VMIP3S0,254500,"What-Aptent-CA.eaf"
Seeing,257700,mirar,257700,VMIP3S0,257700,"What-Aptent-CA.eaf"
Drinking,259184,beure,259184,VMIP3S0,259184,"What-Aptent-CA.eaf"
IntentionalPsychologicalProcess,260244,assaborir,260244,VMIP3S0,260244,"What-Aptent-CA.eaf"
Putting,267543,deixar,267543,VMIP3S0,267543,"What-Aptent-CA.eaf"
located,270502,tenir,270502,VMIP3S0,270502,"What-Aptent-CA.eaf"
Drinking,271847,beure,271847,VMIP3S0,271847,"What-Aptent-CA.eaf"
capability,273730,deixar,273730,VMN0000,273730,"What-Aptent-CA.eaf"
BodyMotion,274268,moure,274268,VMN0000,274268,"What-Aptent-CA.eaf"
Putting,278000,deixar,278000,VMIP3S0,278000,"What-Aptent-CA.eaf"
BodyMotion,280000,picar_de_mans,280000,VMIP3S0,280000,"What-Aptent-CA.eaf"
Removing,284940,treure,284940,VMIP3S0,284940,"What-Aptent-CA.eaf"
IntentionalProcess,287745,accedir,287745,VMIP3S0,287745,"What-Aptent-CA.eaf"
IntentionalProcess,289785,fer,289785,VMIP3S0,289785,"What-Aptent-CA.eaf"
BodyMotion,290040,lliscar,290040,VMN0000,290040,"What-Aptent-CA.eaf"
Motion,292080,aturar,292080,VMN0000,292080,"What-Aptent-CA.eaf"
Touching,296980,prémer,296980,VMIP1S0,296980,"What-Aptent-CA.eaf"
Communication,297224,trucar,297224,VMN0000,297224,"What-Aptent-CA.eaf"
Expressing,329916,arrufar,329916,VMIP3S0,329916,"What-Aptent-CA.eaf"
BodyMotion,331100,alçar,331100,VMM02S0,331100,"What-Aptent-CA.eaf"
BodyMotion,351940,moure,351940,VMIP3S0,351940,"What-Aptent-CA.eaf"
IntentionalProcess,352780,intentar,352780,VMG0000,352780,"What-Aptent-CA.eaf"
Communication,353060,explicar,353060,VMN0000,353060,"What-Aptent-CA.eaf"
Process,380100,tornar,380100,VMIP3S0,380100,"What-Aptent-CA.eaf"
BodyMotion,380604,alçar,380604,VMN0000,380604,"What-Aptent-CA.eaf"
Process,387020,apuntar,387020,VMIP3S0,387020,"What-Aptent-CA.eaf"
located,399228,reposar,399228,VMIP3S0,399228,"What-Aptent-CA.eaf"
Motion,402110,allunyar,402110,VMIP3S0,402110,"What-Aptent-CA.eaf"
Seeing,402372,mirar,402372,VMG0000,402372,"What-Aptent-CA.eaf"
Motion,404206,endinsar,404206,VMIP3S0,404206,"What-Aptent-CA.eaf"
located,411355,estar,411355,VMIP3S0,411355,"What-Aptent-CA.eaf"
Touching,415040,mossegar,415040,VMIP3S0,415040,"What-Aptent-CA.eaf"
Searching,423020,buscar,423020,VMIP3S0,423020,"What-Aptent-CA.eaf"
IntentionalPsychologicalProcess,426104,trobar,426104,VMIP3S0,426104,"What-Aptent-CA.eaf"
Communication,427389,despenjar,427389,VMIP3S0,427389,"What-Aptent-CA.eaf"
BodyMotion,428417,emportar,428417,VMIP3S0,428417,"What-Aptent-CA.eaf"
BodyMotion,455620,arquejar,455620,VMIP3S0,455620,"What-Aptent-CA.eaf"
BodyMotion,464060,moure,464060,VMIP3S0,464060,"What-Aptent-CA.eaf"
Seeing,494300,mirar,494300,VMIP3S0,494300,"What-Aptent-CA.eaf"
BodyMotion,499466,abaixar,499466,VMIP3S0,499466,"What-Aptent-CA.eaf"
Motion,500614,seguir,500614,VMN0000,500614,"What-Aptent-CA.eaf"
BodyMotion,506846,aixecar,506846,VMIP3S0,506846,"What-Aptent-CA.eaf"
Motion,517540,pujar,517540,VMIP3S0,517540,"What-Aptent-CA.eaf"
BodyMotion,522511,girar,522511,VMIP3S0,522511,"What-Aptent-CA.eaf"
IntentionalProcess,523675,intentar,523675,VMG0000,523675,"What-Aptent-CA.eaf"
Investigating,523966,esbrinar,523966,VMN0000,523966,"What-Aptent-CA.eaf"
Motion,524839,venir,524839,VMIP3S0,524839,"What-Aptent-CA.eaf"
IntentionalProcess,526003,continuar,526003,VMM02S0,526003,"What-Aptent-CA.eaf"
Motion,530700,arribar,530700,VMIP3S0,530700,"What-Aptent-CA.eaf"
Walking,532145,caminar,532145,VMIP3S0,532145,"What-Aptent-CA.eaf"
Motion,536769,fer_voltes,536769,VMIP3P0,536769,"What-Aptent-CA.eaf"
BodyMotion,538214,moure,538214,VMG0000,538214,"What-Aptent-CA.eaf"
IntentionalPsychologicalProcess,540526,sorprendre,540526,VMIP3S0,540526,"What-Aptent-CA.eaf"
Seeing,557140,mirar,557140,VMIP3S0,557140,"What-Aptent-CA.eaf"
IntentionalProcess,557740,protegir,557740,VMG0000,557740,"What-Aptent-CA.eaf"
Walking,576260,fer_un_pas,576260,VMG0000,576260,"What-Aptent-CA.eaf"
Searching,586460,buscar,586460,VMIP3P0,586460,"What-Aptent-CA.eaf"
Seeing,642510,mira,642510,VMIP3S0,642510,"What-Aptent-CA.eaf"
Hearing,652740,escoltar,652740,VMIP3S0,652740,"What-Aptent-CA.eaf"
Seeing,708064,mirar,708064,VMIP3S0,708064,"What-Aptent-CA.eaf"
SubjectiveAssessmentAttribute,709032,semblar,709032,VMIP3S0,709032,"What-Aptent-CA.eaf"
IntentionalProcess,709274,dubtar,709274,VMN0000,709274,"What-Aptent-CA.eaf"
Expressing,710242,fer_que_no,710242,VMIP3S0,710242,"What-Aptent-CA.eaf"
Keeping,715642,mantenir,715642,VMIP3S0,715642,"What-Aptent-CA.eaf"
A-EmotionalState,715984,expectar,715984,VMG0000,715984,"What-Aptent-CA.eaf"
BodyMotion,718915,obrar,718915,VMIP1S0,718915,"What-Aptent-CA.eaf"
Expressing,721060,somriure,721060,VMIP3S0,721060,"What-Aptent-CA.eaf"
Seeing,723400,mirar,723400,VMG0000,723400,"What-Aptent-CA.eaf"
Motion,726155,fer_se_enrere,726155,VMIP3S0,726155,"What-Aptent-CA.eaf"
Motion,737291,anar,737291,VMIP3S0,737291,"What-Aptent-CA.eaf"
Motion,740135,atrapar,740135,VMN0000,740135,"What-Aptent-CA.eaf"
Walking,745500,córrer,745500,VMIP3S0,745500,"What-Aptent-CA.eaf"
Motion,747180,atrapar,747180,VMIP3S0,747180,"What-Aptent-CA.eaf"
BodyMotion,748580,passar,748580,VMIP3S0,748580,"What-Aptent-CA.eaf"
Communication,750820,parlar,750820,VMIP3P0,750820,"What-Aptent-CA.eaf"
Motion,751660,allunyar,751660,VMG0000,751660,"What-Aptent-CA.eaf"
Process,756689,estendre,756689,VMM02S0,756689,"What-Aptent-CA.eaf"
Process,765168,acabar,765168,VMN0000,765168,"What-Aptent-CA.eaf"
Communication,769068,parlar,769068,VMSP2S0,769068,"What-Aptent-CA.eaf"
Seeing,772420,mirar,772420,VMIP3S0,772420,"What-Aptent-CA.eaf"
Hearing,774700,escoltar,774700,VMIP3S0,774700,"What-Aptent-CA.eaf"
null,775568,poder,775568,VMIP1S0,775568,"What-Aptent-CA.eaf"
Communication,775785,parlar,775785,VMN0000,775785,"What-Aptent-CA.eaf"
Motion,776870,deixar,776870,VMN0000,776870,"What-Aptent-CA.eaf"
Process,784432,passar,784432,VMIP3S0,784432,"What-Aptent-CA.eaf"
Motion,8680,passar,8680,VMIP3S0,8680,"What-DescriptiveFerrer-CA.eaf"
Walking,8910,córrer,8910,VMG0000,8910,"What-DescriptiveFerrer-CA.eaf"
Walking,10060,passejar,10060,VMIP3S0,10060,"What-DescriptiveFerrer-CA.eaf"
Motion,22876,aturar,22876,VMIP3S0,22876,"What-DescriptiveFerrer-CA.eaf"
Motion,25066,baixar,25066,VMIP3S0,25066,"What-DescriptiveFerrer-CA.eaf"
Communication,25285,parlar,25285,VMG0000,25285,"What-DescriptiveFerrer-CA.eaf"
Putting,26380,desar,26380,VMIP3S0,26380,"What-DescriptiveFerrer-CA.eaf"
Removing,28570,treure,28570,VMIP3S0,28570,"What-DescriptiveFerrer-CA.eaf"
Seeing,53050,llançar_una_mirada,53050,VMIP3S0,53050,"What-DescriptiveFerrer-CA.eaf"
Putting Dressing,54866,posar,54866,VMIP3S0,54866,"What-DescriptiveFerrer-CA.eaf"
