"Annotation1-1","BeginTime","Annotation2-1","BeginTime","Annotation3-1","BeginTime","TranscriptionName"
A-Clothing,165680,descalç,165680,AQ0MS0,165680,"AccessFriendly-CA.eaf"
Motion,166553,acostar,166553,VMIP3S0,166553,"AccessFriendly-CA.eaf"
-,167426,aigua,167426,NCFS000,167426,"AccessFriendly-CA.eaf"
BodyMotion,168299,girar,168299,VMIP3S0,168299,"AccessFriendly-CA.eaf"
Motion,168881,tornar,168881,VMIP3S0,168881,"AccessFriendly-CA.eaf"
Location,169172,enrere,169172,RG,169172,"AccessFriendly-CA.eaf"
-,169754,tot,169754,RG,169754,"AccessFriendly-CA.eaf"
Seeing,170045,mirar,170045,VMG0000,170045,"AccessFriendly-CA.eaf"
Location,171209,voltant,171209,NCMS000,171209,"AccessFriendly-CA.eaf"
Motion,172082,aturar,172082,VMIP3S0,172082,"AccessFriendly-CA.eaf"
Walking,172664,fer_passes,172664,VMIP3S0,172664,"AccessFriendly-CA.eaf"
A-StateOfMind,172955,titubejant,172955,AQ0CP0,172955,"AccessFriendly-CA.eaf"
Location,176450,banda,176450,NCFS000,176450,"AccessFriendly-CA.eaf"
Motion,181054,aturar,181054,VMIP3S0,181054,"AccessFriendly-CA.eaf"
Walking,182218,fer_passes,182218,VMIP3S0,182218,"AccessFriendly-CA.eaf"
A-StateOfMind,182606,titubejant,182606,AQ0CP0,182606,"AccessFriendly-CA.eaf"
Location,186224,banda,186224,NCFS000,186224,"AccessFriendly-CA.eaf"
Location,188184,dreta,188184,NCFS000,188184,"AccessFriendly-CA.eaf"
FilmLanguage,188919,pantalla,188919,NCFS000,188919,"AccessFriendly-CA.eaf"
Location,189899,fons,189899,NCMN000,189899,"AccessFriendly-CA.eaf"
Seeing,190634,albirar,190634,VMIP3S0,190634,"AccessFriendly-CA.eaf"
-,192812,perfil,192812,NCMS000,192812,"AccessFriendly-CA.eaf"
Location,193772,ciutat,193772,NCFS000,193772,"AccessFriendly-CA.eaf"
-,194732,broma,194732,NCFS000,194732,"AccessFriendly-CA.eaf"
possesses,196332,tenir,196332,VMIP3S0,196332,"AccessFriendly-CA.eaf"
-,197292,any,197292,NCMP000,197292,"AccessFriendly-CA.eaf"
-,197932,potser,197932,RG,197932,"AccessFriendly-CA.eaf"
Quantifier,198252,a_prop,198252,RG,198252,"AccessFriendly-CA.eaf"
