"Annotation1-1","BeginTime","Annotation2-1","BeginTime","Annotation3-1","BeginTime","TranscriptionName"
-,107142,grano,107142,NCMP000,107142,"Aptent-ES.eaf"
Aux,108033,dejar,108033,VMIP3S0,108033,"Aptent-ES.eaf"
Motion,108330,caer,108330,VMN0000,108330,"Aptent-ES.eaf"
Time,108627,lentamente,108627,RG,108627,"Aptent-ES.eaf"
BodyMotion,114905,incorporar,114905,VMIP3S0,114905,"Aptent-ES.eaf"
Touching,115315,coger,115315,VMIP3S0,115315,"Aptent-ES.eaf"
Object,115725,móvil,115725,NCMS000,115725,"Aptent-ES.eaf"
A-StateOfMind,141540,preocupar,141540,VMP00SM,141540,"Aptent-ES.eaf"
IntentionalPsychologicalProcess,141905,busca,141905,NCFS000,141905,"Aptent-ES.eaf"
-,143365,pertenencia,143365,NCFP000,143365,"Aptent-ES.eaf"
Putting,157500,dejar,157500,VMIP3S0,157500,"Aptent-ES.eaf"
Object,157948,móvil,157948,NCMS000,157948,"Aptent-ES.eaf"
Location,158620,lado,158620,NCMS000,158620,"Aptent-ES.eaf"
BodyMotion,159292,levantar,159292,VMIP3S0,159292,"Aptent-ES.eaf"
Motion,163430,alejar,163430,VMIP3S0,163430,"Aptent-ES.eaf"
-,164010,metro,164010,NCMP000,164010,"Aptent-ES.eaf"
Object,164880,toalla,164880,NCFS000,164880,"Aptent-ES.eaf"
Seeing,165170,mirar,165170,VMG0000,165170,"Aptent-ES.eaf"
Location,165460,a_lo_lejos,165460,RG,165460,"Aptent-ES.eaf"
Location,166620,paseo,166620,NCMS000,166620,"Aptent-ES.eaf"
A-PositionalAttribute,166910,marítimo,166910,AQ0MS0,166910,"Aptent-ES.eaf"
Motion,169683,detener,169683,VMIP3S0,169683,"Aptent-ES.eaf"
Seeing,170249,centrar_su_atención,170249,VMIP3S0,170249,"Aptent-ES.eaf"
Location,171098,punto,171098,NCMS000,171098,"Aptent-ES.eaf"
A-PositionalAttribute,171381,fijo,171381,AQ0MS0,171381,"Aptent-ES.eaf"
Animal,172230,gaviota,172230,NCFS000,172230,"Aptent-ES.eaf"
