"Annotation1-1","BeginTime","Annotation2-1","BeginTime","Annotation3-1","BeginTime","TranscriptionName"
A-FilmLanguage,418220,sobreimprimir,418220,VMP00SM,418220,"Aptent-ES.eaf"
Human,419905,estudiante,419905,NCCS000,419905,"Aptent-ES.eaf"
IntentionalPsychologicalProcess,423020,buscar,423020,VMIP3S0,423020,"Aptent-ES.eaf"
Object,423510,móvil,423510,NCMS000,423510,"Aptent-ES.eaf"
Time,425660,finalmente,425660,RG,425660,"Aptent-ES.eaf"
Process,426184,encontrar,426184,VMIP3S0,426184,"Aptent-ES.eaf"
Object,426970,papel,426970,NCMP000,426970,"Aptent-ES.eaf"
Process,427494,descolgar,427494,VMIP3S0,427494,"Aptent-ES.eaf"
Putting,428542,llevar,428542,VMIP3S0,428542,"Aptent-ES.eaf"
BodyPart,429328,oreja,429328,NCFS000,429328,"Aptent-ES.eaf"
Gesture,455620,arquear_las_cejas,455620,VMIP3S0,455620,"Aptent-ES.eaf"
BodyMotion,464060,mover,464060,VMIP3S0,464060,"Aptent-ES.eaf"
BodyPart,464668,mano,464668,NCFS000,464668,"Aptent-ES.eaf"
A-StateOfMind,464972,alterar,464972,VMP00SF,464972,"Aptent-ES.eaf"
Seeing,494300,mirar,494300,VMIP3S0,494300,"Aptent-ES.eaf"
Location,495134,lado,495134,NCMP000,495134,"Aptent-ES.eaf"
Gesture,495968,gesto,495968,NCMS000,495968,"Aptent-ES.eaf"
StateOfMind,496524,extrañeza,496524,NCFS000,496524,"Aptent-ES.eaf"
StateOfMind,497080,temor,497080,NCMS000,497080,"Aptent-ES.eaf"
Quantifier,497636,ligeramente,497636,RG,497636,"Aptent-ES.eaf"
StateOfMind,497914,aliviar,497914,VMP00SF,497914,"Aptent-ES.eaf"
-,498748,cese,498748,NCMS000,498748,"Aptent-ES.eaf"
RadiatingSound,499582,ruido,499582,NCMS000,499582,"Aptent-ES.eaf"
Seeing,500138,bajar_la_mirada,500138,VMIP3S0,500138,"Aptent-ES.eaf"
Aux,500694,seguir,500694,VMN0000,500694,"Aptent-ES.eaf"
IntentionalPsychologicalProcess,500972,estudiar,500972,VMG0000,500972,"Aptent-ES.eaf"
BodyMotion,506833,levantar,506833,VMIP3S0,506833,"Aptent-ES.eaf"
Object,507472,silla,507472,NCFS000,507472,"Aptent-ES.eaf"
Aux,512780,haber,512780,VAIP3S0,512780,"Aptent-ES.eaf"
Motion,513053,salir,513053,VMP00SM,513053,"Aptent-ES.eaf"
Location,513872,calle,513872,NCFS000,513872,"Aptent-ES.eaf"
Clothing,514691,abrigo,514691,NCMS000,514691,"Aptent-ES.eaf"
A-ColorAttribute,514964,marrón,514964,AQ0MS0,514964,"Aptent-ES.eaf"
Clothing,515783,fular,515783,NCMS000,515783,"Aptent-ES.eaf"
A-ColorAttribute,516056,negro,516056,AQ0MS0,516056,"Aptent-ES.eaf"
-,516602,estampado,516602,NCMS000,516602,"Aptent-ES.eaf"
A-ColorAttribute,516875,blanco,516875,AQ0MS0,516875,"Aptent-ES.eaf"
Motion,517421,subir,517421,VMIP3S0,517421,"Aptent-ES.eaf"
Location,517967,pendiente,517967,NCFS000,517967,"Aptent-ES.eaf"
A-SubjectiveAssessmentAttribute,518240,lleno,518240,AQ0FS0,518240,"Aptent-ES.eaf"
Vegetable,518786,vegetación,518786,NCFS000,518786,"Aptent-ES.eaf"
Time,522220,de_repente,522220,RG,522220,"Aptent-ES.eaf"
BodyMotion,522528,girar,522528,VMIP3S0,522528,"Aptent-ES.eaf"
BodyPart,523144,cabeza,523144,NCFS000,523144,"Aptent-ES.eaf"
Aux,523760,intentar,523760,VMG0000,523760,"Aptent-ES.eaf"
IntentionalPsychologicalProcess,524068,averiguar,524068,VMN0000,524068,"Aptent-ES.eaf"
Motion,524992,venir,524992,VMIP3S0,524992,"Aptent-ES.eaf"
RadiatingSound,525608,sonido,525608,NCMS000,525608,"Aptent-ES.eaf"
Process,526224,proseguir,526224,VMIP3S0,526224,"Aptent-ES.eaf"
Location,526840,camino,526840,NCMS000,526840,"Aptent-ES.eaf"
Motion,530700,llegar,530700,VMIP3S0,530700,"Aptent-ES.eaf"
Location,531639,explanada,531639,NCFS000,531639,"Aptent-ES.eaf"
Walking,532265,caminar,532265,VMIP3S0,532265,"Aptent-ES.eaf"
Time,532578,lentamente,532578,RG,532578,"Aptent-ES.eaf"
-,534769,también,534769,RG,534769,"Aptent-ES.eaf"
located,535082,estar,535082,VSIP3P0,535082,"Aptent-ES.eaf"
Location,535395,allí,535395,RG,535395,"Aptent-ES.eaf"
Motion,536647,dar_vueltas,536647,VMIP3P0,536647,"Aptent-ES.eaf"
-,537273,sí,537273,RG,537273,"Aptent-ES.eaf"
-,537586,mismo,537586,AQ0MP0,537586,"Aptent-ES.eaf"
BodyMotion,537899,mover,537899,VMG0000,537899,"Aptent-ES.eaf"
BodyPart,538525,cabeza,538525,NCFS000,538525,"Aptent-ES.eaf"
