"Annotation1-1","BeginTime","Annotation2-1","BeginTime","Annotation3-1","BeginTime","TranscriptionName"
BodyMotion,296980,pulsar,296980,VMIP3S0,296980,"What-Aptent-ES.eaf"
Communication,297277,llamar,297277,VMN0000,297277,"What-Aptent-ES.eaf"
BodyMotion,329974,fruncir,329974,VMIP3S0,329974,"What-Aptent-ES.eaf"
Seeing,331390,alzar_la_mirada,331390,VMIP3S0,331390,"What-Aptent-ES.eaf"
BodyMotion,351940,mover,351940,VMIP3S0,351940,"What-Aptent-ES.eaf"
Communication,353060,explicar,353060,VMN0000,353060,"What-Aptent-ES.eaf"
Process,380100,volver,380100,VMIP3S0,380100,"What-Aptent-ES.eaf"
Seeing,380932,alzar_la_mirada,380932,VMN0000,380932,"What-Aptent-ES.eaf"
BodyMotion,387020,esbozar,387020,VMIP3S0,387020,"What-Aptent-ES.eaf"
Process,399352,reposar,399352,VMIP3S0,399352,"What-Aptent-ES.eaf"
Motion,402575,alejar,402575,VMIP3S0,402575,"What-Aptent-ES.eaf"
Seeing,402868,mirar,402868,VMG0000,402868,"What-Aptent-ES.eaf"
Motion,404919,adentrar,404919,VMIP3S0,404919,"What-Aptent-ES.eaf"
Process,410779,morder,410779,VMIP3S0,410779,"What-Aptent-ES.eaf"
IntentionalPsychologicalProcess,423020,buscar,423020,VMIP3S0,423020,"What-Aptent-ES.eaf"
Process,426184,encontrar,426184,VMIP3S0,426184,"What-Aptent-ES.eaf"
Process,427494,descolgar,427494,VMIP3S0,427494,"What-Aptent-ES.eaf"
Process,428542,llevar,428542,VMIP3S0,428542,"What-Aptent-ES.eaf"
BodyMotion,455620,arquear,455620,VMIP3S0,455620,"What-Aptent-ES.eaf"
BodyMotion,464060,mover,464060,VMIP3S0,464060,"What-Aptent-ES.eaf"
Seeing,494300,mirar,494300,VMIP3S0,494300,"What-Aptent-ES.eaf"
Seeing,500138,bajar_la_mirada,500138,VMIP3S0,500138,"What-Aptent-ES.eaf"
IntentionalPsychologicalProcess,500972,estudiar,500972,VMG0000,500972,"What-Aptent-ES.eaf"
BodyMotion,506833,levantar,506833,VMIP3S0,506833,"What-Aptent-ES.eaf"
Walking,517421,subir,517421,VMIP3S0,517421,"What-Aptent-ES.eaf"
BodyMotion,522528,girar,522528,VMIP3S0,522528,"What-Aptent-ES.eaf"
IntentionalPsychologicalProcess,524068,averiguar,524068,VMN0000,524068,"What-Aptent-ES.eaf"
Motion,524992,venir,524992,VMIP3S0,524992,"What-Aptent-ES.eaf"
Process,526224,proseguir,526224,VMIP3S0,526224,"What-Aptent-ES.eaf"
Motion,530700,llegar,530700,VMIP3S0,530700,"What-Aptent-ES.eaf"
Walking,532220,caminar,532220,VMIP3S0,532220,"What-Aptent-ES.eaf"
Motion,536476,dar,536476,VMIP3P0,536476,"What-Aptent-ES.eaf"
BodyMotion,537996,mover,537996,VMG0000,537996,"What-Aptent-ES.eaf"
IntentionalPsychologicalProcess,539820,sorprender,539820,VMIP3S0,539820,"What-Aptent-ES.eaf"
Seeing,556850,mirar,556850,VMIP3S0,556850,"What-Aptent-ES.eaf"
BodyMotion,557470,hacer_visera,557470,VMG0000,557470,"What-Aptent-ES.eaf"
Process,559020,evitar,559020,VMN0000,559020,"What-Aptent-ES.eaf"
Walking,576610,dar_un_paso,576610,VMIP3S0,576610,"What-Aptent-ES.eaf"
IntentionalPsychologicalProcess,586460,buscar,586460,VMIP3P0,586460,"What-Aptent-ES.eaf"
Hearing,652510,escuchar,652510,VMIP3S0,652510,"What-Aptent-ES.eaf"
Seeing,707848,mirar,707848,VMIP3S0,707848,"What-Aptent-ES.eaf"
IntentionalPsychologicalProcess,709188,dudar,709188,VMN0000,709188,"What-Aptent-ES.eaf"
BodyMotion,709992,negar,709992,VMIP3S0,709992,"What-Aptent-ES.eaf"
Process,715677,mantener,715677,VMIP3S0,715677,"What-Aptent-ES.eaf"
BodyMotion,718660,abrir,718660,VMIP3S0,718660,"What-Aptent-ES.eaf"
StateOfMind,721060,sonreír,721060,VMIP3S0,721060,"What-Aptent-ES.eaf"
Seeing,723400,mirar,723400,VMG0000,723400,"What-Aptent-ES.eaf"
Walking,726033,retroceder_un_paso,726033,VMIP3S0,726033,"What-Aptent-ES.eaf"
Motion,737106,marchar,737106,VMIP3S0,737106,"What-Aptent-ES.eaf"
Process,739736,apresurar,739736,VMIP3S0,739736,"What-Aptent-ES.eaf"
Process,740262,alcanzar,740262,VMN0000,740262,"What-Aptent-ES.eaf"
Walking,745230,correr,745230,VMIP3S0,745230,"What-Aptent-ES.eaf"
Process,746970,alcanzar,746970,VMIP3S0,746970,"What-Aptent-ES.eaf"
Process,748130,dar,748130,VMIP3S0,748130,"What-Aptent-ES.eaf"
Communication,750450,hablar,750450,VMIP3P0,750450,"What-Aptent-ES.eaf"
Motion,751320,alejar,751320,VMG0000,751320,"What-Aptent-ES.eaf"
Process,756713,tender,756713,VMIP3S0,756713,"What-Aptent-ES.eaf"
Process,763492,tender,763492,VMN0000,763492,"What-Aptent-ES.eaf"
