"Annotation1-1"	"BeginTime"	"Annotation1-2"	"BeginTime"	"Annotation2-1"	"BeginTime"	"Annotation2-2"	"BeginTime"	"Annotation3-2"	"BeginTime"	"TranscriptionName"
NCMS000	54012	AQ0MS0	54274	pelo	54012	rubio	54274	A-ColorAttribute	54274	"Aristia-ES.eaf"
NCMS000	96605	AQ0MS0	96912	bañador	96605	negro	96912	A-ColorAttribute	96912	"Aristia-ES.eaf"
NCFS000	165176	AQ0MS0	165992	orilla	165176	atento	165992	A-IntentionalPsychologicalProcess	165992	"Aristia-ES.eaf"
NCMS000	219787	AQ0MS0	220076	traje	219787	negro	220076	A-ColorAttribute	220076	"Aristia-ES.eaf"
NCMS000	228130	AQ0MS0	228462	matorral	228130	bajo	228462	A-SubjectiveAssessmentAttribute	228462	"Aristia-ES.eaf"
NCMS000	237128	AQ0MP0	238145	bigote	237128	entrecano	238145	A-ColorAttribute	238145	"Aristia-ES.eaf"
NCFS000	237806	AQ0MP0	238145	barba	237806	entrecano	238145	A-ColorAttribute	238145	"Aristia-ES.eaf"
NCFS000	240857	AQ0FS0	241874	camiseta	240857	verdoso	241874	A-ColorAttribute	241874	"Aristia-ES.eaf"
NCMP000	241535	AQ0FS0	241874	tirante	241535	verdoso	241874	A-ColorAttribute	241874	"Aristia-ES.eaf"
NCMS000	269130	AQ0MS0	269420	banco	269130	cercano	269420	A-PositionalAttribute	269420	"Aristia-ES.eaf"
NCFS000	274060	AQ0FS0	274350	pierna	274060	derecho	274350	A-PositionalAttribute	274350	"Aristia-ES.eaf"
NCMS000	280170	AQ0MS0	280398	banco	280170	contiguo	280398	A-PositionalAttribute	280398	"Aristia-ES.eaf"
NCMP000	413280	AQ0FS0	414375	año	413280	pelirrojo	414375	A-ColorAttribute	414375	"Aristia-ES.eaf"
NCFS000	530367	AQ0FS0	530666	explanada	530367	terroso	530666	A-SubjectiveAssessmentAttribute	530666	"Aristia-ES.eaf"
NP00SP0	557000	AQ0MS0	557934	rick	557000	incrédulo	557934	A-StateOfMind	557934	"Aristia-ES.eaf"
NP00SP0	740250	AQ0FS0	740992	jessica	740250	pensativo	740992	A-IntentionalPsychologicalProcess	740992	"Aristia-ES.eaf"
NCFS000	758582	AQ0MS0	759248	imagen	758582	negro	759248	A-ColorAttribute	759248	"Aristia-ES.eaf"
NP00SP0	779660	AQ0FS0	780320	zoé	779660	próximo	780320	A-PositionalAttribute	780320	"Aristia-ES.eaf"
NP0V00	23195	AQ0MS0	24080	bmw	23195	blanco	24080	A-ColorAttribute	24080	"What-CEIAF-ES.eaf"
NCMS000	23785	AQ0MS0	24080	color	23785	blanco	24080	A-ColorAttribute	24080	"What-CEIAF-ES.eaf"
NCMS000	25555	AQ0MS0	25850	paseo	25555	marítimo	25850	A-PositionalAttribute	25850	"What-CEIAF-ES.eaf"
NCMS000	96366	AQ0MS0	96622	torso	96366	desnudo	96622	A-SubjectiveAssessmentAttribute	96622	"What-CEIAF-ES.eaf"
NP00G00	142050	AQ0MS0	142634	james	142050	inquieto	142634	A-StateOfMind	142634	"What-CEIAF-ES.eaf"
NCFS000	167834	AQ0FS0	169106	playa	167834	desierto	169106	A-SubjectiveAssessmentAttribute	169106	"What-CEIAF-ES.eaf"
NCFS000	188700	AQ0MS0	189900	orilla	188700	cierto	189900	A-SubjectiveAssessmentAttribute	189900	"What-CEIAF-ES.eaf"
NCMS000	193864	AQ0MS0	194221	hombre	193864	rubio	194221	A-ColorAttribute	194221	"What-CEIAF-ES.eaf"
NCFS000	196006	AQ0FS0	196363	estatura	196006	medio	196363	A-SubjectiveAssessmentAttribute	196363	"What-CEIAF-ES.eaf"
NCFS000	197077	AQ0CS0	197434	complexión	197077	fuerte	197434	A-SubjectiveAssessmentAttribute	197434	"What-CEIAF-ES.eaf"
NCMS000	234650	AQ0FS0	235550	hombre	234650	cano	235550	A-ColorAttribute	235550	"What-CEIAF-ES.eaf"
NCFS000	235250	AQ0FS0	235550	barba	235250	cano	235550	A-ColorAttribute	235550	"What-CEIAF-ES.eaf"
NCFS000	244490	AQ0CS0	244819	camiseta	244490	verde	244819	A-ColorAttribute	244819	"What-CEIAF-ES.eaf"
NCMS000	269646	AQ0MS0	270029	pantalón	269646	vaquero	270029	A-SubjectiveAssessmentAttribute	270029	"What-CEIAF-ES.eaf"
NCFP000	271178	AQ0FP0	271561	zapatilla	271178	deportivo	271561	A-SubjectiveAssessmentAttribute	271561	"What-CEIAF-ES.eaf"
NP00SP0	272327	AQ0MS0	273476	rick	272327	solo	273476	A-SubjectiveAssessmentAttribute	273476	"What-CEIAF-ES.eaf"
