"Annotation1-1"	"BeginTime"	"Annotation1-2"	"BeginTime"	"Annotation2-1"	"BeginTime"	"Annotation2-2"	"BeginTime"	"Annotation3-2"	"BeginTime"	"TranscriptionName"
NCMS000	205730	AQ0CS0	205920	punto	205730	superior	205920	A-PositionalAttribute	205920	"What-Tragora-ES.eaf"
NCMS000	233000	AQ0MS0	233478	camino	233000	decisivo	233478	A-IntentionalPsychologicalProcess	233478	"What-Tragora-ES.eaf"
NCMS000	250290	AQ0MS0	250550	pelo	250290	largo	250550	A-SubjectiveAssessmentAttribute	250550	"What-Tragora-ES.eaf"
NCMS000	251590	AQ0MS0	252370	aspecto	251590	pensativo	252370	A-StateOfMind	252370	"What-Tragora-ES.eaf"
NCFS000	253670	AQ0MS0	254450	cabeza	253670	indeciso	254450	A-StateOfMind	254450	"What-Tragora-ES.eaf"
NCMS000	274490	AQ0MS0	274782	pantalón	274490	vaquero	274782	A-SubjectiveAssessmentAttribute	274782	"What-Tragora-ES.eaf"
NCFP000	275658	AQ0FP0	275950	zapatilla	275658	deportivo	275950	A-SubjectiveAssessmentAttribute	275950	"What-Tragora-ES.eaf"
NCFS000	280914	AQ0FS0	281206	pierna	280914	derecha	281206	A-PositionalAttribute	281206	"What-Tragora-ES.eaf"
NCMS000	285294	AQ0MS0	285878	lado	285294	nervioso	285878	A-StateOfMind	285878	"What-Tragora-ES.eaf"
NCMS000	290842	AQ0CS0	291134	teléfono	290842	móvil	291134	A-PositionalAttribute	291134	"What-Tragora-ES.eaf"
NCMS000	292594	AQ0MS0	292886	bolsillo	292594	trasero	292886	A-PositionalAttribute	292886	"What-Tragora-ES.eaf"
NCMS000	380388	AQ0MS0	380656	semblante	380388	serio	380656	A-StateOfMind	380656	"What-Tragora-ES.eaf"
NCFS000	418998	AQ0FS0	419331	chico	418998	pelirrojo	419331	A-ColorAttribute	419331	"What-Tragora-ES.eaf"
NP00SP0	738880	AQ0MS0	739420	rick	738880	dubitativo	739420	A-StateOfMind	739420	"What-Tragora-ES.eaf"
NP00SP0	761048	AQ0MS0	772000	rick	761048	mismo	772000	A-SubjectiveAssessmentAttribute	772000	"What-Tragora-ES.eaf"
