"Annotation1-1","BeginTime","Annotation2-1","BeginTime","Annotation3-1","BeginTime","TranscriptionName"
Location,190901,enlaire,190901,RG,190901,"Altadill_Judit_CA.eaf"
Walking,191457,tornar,191457,VMIP3S0,191457,"Altadill_Judit_CA.eaf"
Location,192291,vora,192291,NCFS000,192291,"Altadill_Judit_CA.eaf"
Aux,193125,tornar,193125,VAIP3S0,193125,"Altadill_Judit_CA.eaf"
Seeing,193681,mirar,193681,VMN0000,193681,"Altadill_Judit_CA.eaf"
Location,193959,enrere,193959,RG,193959,"Altadill_Judit_CA.eaf"
Seeing,194515,mirar,194515,VMIP3S0,194515,"Altadill_Judit_CA.eaf"
Location,195627,dreta,195627,NCFS000,195627,"Altadill_Judit_CA.eaf"
Aux,196461,tornar,196461,VAIP3S0,196461,"Altadill_Judit_CA.eaf"
Walking,197017,acostar,197017,VMN0000,197017,"Altadill_Judit_CA.eaf"
-,197851,aigua,197851,NCFS000,197851,"Altadill_Judit_CA.eaf"
Seeing,198407,mirar,198407,VMIP3S0,198407,"Altadill_Judit_CA.eaf"
Location,199519,voltant,199519,NCMS000,199519,"Altadill_Judit_CA.eaf"
A-StateOfMind,208349,estranyar,208349,VMP00SM,208349,"Altadill_Judit_CA.eaf"
BodyMotion,209198,girar,209198,VMIP3S0,209198,"Altadill_Judit_CA.eaf"
Walking,209764,caminar,209764,VMIP3S0,209764,"Altadill_Judit_CA.eaf"
Object,210613,tovallola,210613,NCFS000,210613,"Altadill_Judit_CA.eaf"
-,211462,agafar,211462,VMIP3S0,211462,"Altadill_Judit_CA.eaf"
Clothing,212028,camisa,212028,NCFS000,212028,"Altadill_Judit_CA.eaf"
Putting,222646,posar,222646,VMIP3S0,222646,"Altadill_Judit_CA.eaf"
Aux,223561,deixar,223561,VAN0000,223561,"Altadill_Judit_CA.eaf"
Seeing,224171,mirar,224171,VMN0000,224171,"Altadill_Judit_CA.eaf"
Location,225086,banda,225086,NCFP000,225086,"Altadill_Judit_CA.eaf"
TimeInterval,229267,ara,229267,RG,229267,"Altadill_Judit_CA.eaf"
A-Clothing,229967,vestir,229967,VMP00SM,229967,"Altadill_Judit_CA.eaf"
Walking,230667,caminar,230667,VMIP3S0,230667,"Altadill_Judit_CA.eaf"
Location,239786,passeig,239786,NCMS000,239786,"Altadill_Judit_CA.eaf"
Vegetable,240238,arbre,240238,NCMP000,240238,"Altadill_Judit_CA.eaf"
Walking,240916,pujar,240916,VMIP3S0,240916,"Altadill_Judit_CA.eaf"
Location,241594,camí,241594,NCMS000,241594,"Altadill_Judit_CA.eaf"
Location,242272,muntanya,242272,NCFS000,242272,"Altadill_Judit_CA.eaf"
Human,243176,home,243176,NCMS000,243176,"Altadill_Judit_CA.eaf"
-,247772,any,247772,NCMP000,247772,"Altadill_Judit_CA.eaf"
BodyPart,250019,barba,250019,NCFS000,250019,"Altadill_Judit_CA.eaf"
BodyPart,253530,cabell,253530,NCMP000,253530,"Altadill_Judit_CA.eaf"
A-ColorAttribute,253736,blanc,253736,AQ0MP0,253736,"Altadill_Judit_CA.eaf"
A-SubjectiveAssessmentAttribute,254148,despentinar,254148,VMP00PM,254148,"Altadill_Judit_CA.eaf"
Seeing,254560,mirar,254560,VMIP3S0,254560,"Altadill_Judit_CA.eaf"
Location,254972,no-res,254972,NCMS000,254972,"Altadill_Judit_CA.eaf"
Gesture,255590,fer_que_no_amb_el_cap,255590,VMIP3S0,255590,"Altadill_Judit_CA.eaf"
Seeing,256002,abaixar_la_mirada,256002,VMIP3S0,256002,"Altadill_Judit_CA.eaf"
Process,256620,fer,256620,VMIP3S0,256620,"Altadill_Judit_CA.eaf"
-,257032,rodona,257032,NCFS000,257032,"Altadill_Judit_CA.eaf"
BodyPart,257650,dit,257650,NCMS000,257650,"Altadill_Judit_CA.eaf"
Object,258268,tapa,258268,NCFS000,258268,"Altadill_Judit_CA.eaf"
Object,265435,got,265435,NCMS000,265435,"Altadill_Judit_CA.eaf"
-,266011,cafè,266011,NCMS000,266011,"Altadill_Judit_CA.eaf"
Motion,266587,emportar,266587,VMN0000,266587,"Altadill_Judit_CA.eaf"
Process,269934,obrir,269934,VMIP3S0,269934,"Altadill_Judit_CA.eaf"
Seeing,270639,mirar,270639,VMIP3S0,270639,"Altadill_Judit_CA.eaf"
Location,271109,interior,271109,NCMS000,271109,"Altadill_Judit_CA.eaf"
Drinking,271579,beure,271579,VMIP3S0,271579,"Altadill_Judit_CA.eaf"
Aux,272284,ser,272284,VSIP3S0,272284,"Altadill_Judit_CA.eaf"
Human,273459,jubilat,273459,NCMS000,273459,"Altadill_Judit_CA.eaf"
Aux,274164,estar,274164,VSIP3S0,274164,"Altadill_Judit_CA.eaf"
A-PositionalAttribute,274399,asseure,274399,VMP00SM,274399,"Altadill_Judit_CA.eaf"
Object,275104,banc,275104,NCMS000,275104,"Altadill_Judit_CA.eaf"
Location,275809,parc,275809,NCMS000,275809,"Altadill_Judit_CA.eaf"
Vegetable,276514,arbre,276514,NCMP000,276514,"Altadill_Judit_CA.eaf"
-,276984,dur,276984,VMIP3S0,276984,"Altadill_Judit_CA.eaf"
Clothing,277454,samarreta,277454,NCFS000,277454,"Altadill_Judit_CA.eaf"
-,277924,tirant,277924,NCMP000,277924,"Altadill_Judit_CA.eaf"
possesses,278394,tenir,278394,VMIP3S0,278394,"Altadill_Judit_CA.eaf"
-,278864,aspecte,278864,NCMS000,278864,"Altadill_Judit_CA.eaf"
A-SubjectiveAssessmentAttribute,279099,deixar,279099,VMP00SM,279099,"Altadill_Judit_CA.eaf"
Aux,279569,continuar,279569,VAIP3S0,279569,"Altadill_Judit_CA.eaf"
Drinking,286865,beure,286865,VMG0000,286865,"Altadill_Judit_CA.eaf"
-,287367,cafè,287367,NCMS000,287367,"Altadill_Judit_CA.eaf"
BodyMotion,287869,moure,287869,VMIP3S0,287869,"Altadill_Judit_CA.eaf"
BodyPart,288371,cama,288371,NCFS000,288371,"Altadill_Judit_CA.eaf"
A-PositionalAttribute,288622,dret,288622,AQ0FS0,288622,"Altadill_Judit_CA.eaf"
A-StateOfMind,289124,nerviós,289124,AQ0MS0,289124,"Altadill_Judit_CA.eaf"
Putting,289626,deixar,289626,VMIP3S0,289626,"Altadill_Judit_CA.eaf"
-,290128,cafè,290128,NCMS000,290128,"Altadill_Judit_CA.eaf"
Object,380641,banc,380641,NCMS000,380641,"Altadill_Judit_CA.eaf"
Putting,399903,treure,399903,VMIP3S0,399903,"Altadill_Judit_CA.eaf"
Object,400409,mòbil,400409,NCMS000,400409,"Altadill_Judit_CA.eaf"
Clothing,401168,butxaca,401168,NCFS000,401168,"Altadill_Judit_CA.eaf"
IntentionalPsychologicalProcess,401674,buscar,401674,VMIP3S0,401674,"Altadill_Judit_CA.eaf"
-,402433,contacte,402433,NCMP000,402433,"Altadill_Judit_CA.eaf"
Communication,402939,trucar,402939,VMIP3S0,402939,"Altadill_Judit_CA.eaf"
Seeing,403951,mirar,403951,VMIP3S0,403951,"Altadill_Judit_CA.eaf"
Location,404204,enlaire,404204,RG,404204,"Altadill_Judit_CA.eaf"
BodyMotion,411294,aixecar,411294,VMIP3S0,411294,"Altadill_Judit_CA.eaf"
Motion,412110,allunyar,412110,VMIP3S0,412110,"Altadill_Judit_CA.eaf"
Object,412926,banc,412926,NCMS000,412926,"Altadill_Judit_CA.eaf"
BodyMotion,413742,girar,413742,VMIP3S0,413742,"Altadill_Judit_CA.eaf"
Walking,414286,caminar,414286,VMIP3S0,414286,"Altadill_Judit_CA.eaf"
BodyPart,414830,esquena,414830,NCFP000,414830,"Altadill_Judit_CA.eaf"
Seeing,415374,mirar,415374,VMG0000,415374,"Altadill_Judit_CA.eaf"
Object,415918,banc,415918,NCMS000,415918,"Altadill_Judit_CA.eaf"
Location,416462,enlaire,416462,RG,416462,"Altadill_Judit_CA.eaf"
Human,418853,noi,418853,NCFS000,418853,"Altadill_Judit_CA.eaf"
-,419789,any,419789,NCMP000,419789,"Altadill_Judit_CA.eaf"
BodyPart,423924,cabell,423924,NCMP000,423924,"Altadill_Judit_CA.eaf"
A-SubjectiveAssessmentAttribute,424325,arrissar,424325,VMP00PM,424325,"Altadill_Judit_CA.eaf"
A-ColorAttribute,494631,pèl-roig,494631,AQ0MP0,494631,"Altadill_Judit_CA.eaf"
Aux,495089,estar,495089,VSIP3S0,495089,"Altadill_Judit_CA.eaf"
A-PositionalAttribute,495318,asseure,495318,VMP00SF,495318,"Altadill_Judit_CA.eaf"
Object,496005,ordinador,496005,NCMS000,496005,"Altadill_Judit_CA.eaf"
A-StateOfMind,512168,pensatiu,512168,AQ0FS0,512168,"Altadill_Judit_CA.eaf"
Aux,513044,ser,513044,VSIP3S0,513044,"Altadill_Judit_CA.eaf"
Human,514504,estudiant,514504,NCCS000,514504,"Altadill_Judit_CA.eaf"
IntentionalPsychologicalProcess,515380,buscar,515380,VMIP3S0,515380,"Altadill_Judit_CA.eaf"
Object,515964,mòbil,515964,NCMS000,515964,"Altadill_Judit_CA.eaf"
Seeing,516840,mirar,516840,VMIP3S0,516840,"Altadill_Judit_CA.eaf"
Location,521420,voltant,521420,NCMS000,521420,"Altadill_Judit_CA.eaf"
A-StateOfMind,522118,incòmode,522118,AQ0FS0,522118,"Altadill_Judit_CA.eaf"
Location,523863,carrer,523863,NCMS000,523863,"Altadill_Judit_CA.eaf"
Clothing,525259,jaqueta,525259,NCFS000,525259,"Altadill_Judit_CA.eaf"
A-SubjectiveAssessmentAttribute,525608,posar,525608,VMP00SF,525608,"Altadill_Judit_CA.eaf"
Aux,534197,continuar,534197,VAIP3S0,534197,"Altadill_Judit_CA.eaf"
Seeing,534513,mirar,534513,VMG0000,534513,"Altadill_Judit_CA.eaf"
Location,535461,canton,535461,NCMP000,535461,"Altadill_Judit_CA.eaf"
A-StateOfMind,536093,estranyar,536093,VMP00SF,536093,"Altadill_Judit_CA.eaf"
Motion,537357,endinsar,537357,VMIP3S0,537357,"Altadill_Judit_CA.eaf"
Vegetable,556553,matoll,556553,NCMP000,556553,"Altadill_Judit_CA.eaf"
Motion,557342,aturar,557342,VMIP3S0,557342,"Altadill_Judit_CA.eaf"
Seeing,557868,mirar,557868,VMIP3S0,557868,"Altadill_Judit_CA.eaf"
Location,558131,enrere,558131,RG,558131,"Altadill_Judit_CA.eaf"
Motion,558920,allunyar,558920,VMIP3S0,558920,"Altadill_Judit_CA.eaf"
Mode,559183,corrent,559183,RG,559183,"Altadill_Judit_CA.eaf"
Location,560498,esplanada,560498,NCFS000,560498,"Altadill_Judit_CA.eaf"
Location,560761,enmig,560761,RG,560761,"Altadill_Judit_CA.eaf"
Location,594991,muntanya,594991,NCFS000,594991,"Altadill_Judit_CA.eaf"
Process,595501,trobar,595501,VMIP3P0,595501,"Altadill_Judit_CA.eaf"
A-StateOfMind,663546,palplantar,663546,VMP00PM,663546,"Altadill_Judit_CA.eaf"
Process,663856,formar,663856,VMIP3P0,663856,"Altadill_Judit_CA.eaf"
-,708987,triangle,708987,NCMS000,708987,"Altadill_Judit_CA.eaf"
-,709743,no,709743,RN,709743,"Altadill_Judit_CA.eaf"
Aux,710121,deixar,710121,VAIP3P0,710121,"Altadill_Judit_CA.eaf"
Seeing,710877,mirar,710877,VMN0000,710877,"Altadill_Judit_CA.eaf"
Location,711255,enlaire,711255,RG,711255,"Altadill_Judit_CA.eaf"
Location,718890,voltant,718890,NCMS000,718890,"Altadill_Judit_CA.eaf"
A-StateOfMind,719470,desconcertar,719470,VMP00PM,719470,"Altadill_Judit_CA.eaf"
BodyPart,740632,mà,740632,NCFS000,740632,"Altadill_Judit_CA.eaf"
BodyPart,741664,cap,741664,NCMS000,741664,"Altadill_Judit_CA.eaf"
Process,752521,fer,752521,VMIP3S0,752521,"Altadill_Judit_CA.eaf"
-,753313,moviment,753313,NCMS000,753313,"Altadill_Judit_CA.eaf"
BodyPart,762936,dit,762936,NCMS000,762936,"Altadill_Judit_CA.eaf"
Gesture,764928,fer_que_no_amb_el_cap,764928,VMIP3P0,764928,"Altadill_Judit_CA.eaf"
BodyMotion,766173,alçar,766173,VMIP3S0,766173,"Altadill_Judit_CA.eaf"
BodyPart,768146,braç,768146,NCMP000,768146,"Altadill_Judit_CA.eaf"
A-StateOfMind,768588,alleujar,768588,VMP00SM,768588,"Altadill_Judit_CA.eaf"
Seeing,769693,mirar,769693,VMIP3S0,769693,"Altadill_Judit_CA.eaf"
Location,769914,avall,769914,RG,769914,"Altadill_Judit_CA.eaf"
A-StateOfMind,770356,incrèdul,770356,AQ0FS0,770356,"Altadill_Judit_CA.eaf"
